"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 08 23:04:29 YEKT 2024","Tue Oct 08 23:05:16 YEKT 2024","47838","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","MainPageLogo Check",""
"passed","Tue Oct 08 23:04:15 YEKT 2024","Tue Oct 08 23:04:29 YEKT 2024","13851","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","Certificates Page Check",""
"passed","Tue Oct 08 23:03:41 YEKT 2024","Tue Oct 08 23:04:00 YEKT 2024","19083","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","CorporateOffers Page Check",""
"passed","Tue Oct 08 23:03:12 YEKT 2024","Tue Oct 08 23:03:27 YEKT 2024","14354","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","BasicAuth Check",""
"passed","Tue Oct 08 23:04:36 YEKT 2024","Tue Oct 08 23:05:37 YEKT 2024","61814","Chromium","e2e_CertificatePurchaseCheck.spec.ts","Certificate Purchase","","","Positive electronic certificate for the amount to be entered",""
"passed","Tue Oct 08 23:04:06 YEKT 2024","Tue Oct 08 23:04:25 YEKT 2024","18346","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","Salons Page Check",""
"passed","Tue Oct 08 23:05:39 YEKT 2024","Tue Oct 08 23:05:52 YEKT 2024","12633","Chromium","e2e_CitiesCheck.spec.ts","Checking the opening of other cities","","","Kaliningrad",""
"passed","Tue Oct 08 23:05:17 YEKT 2024","Tue Oct 08 23:05:39 YEKT 2024","22739","Chromium","e2e_CertificatePurchaseCheck.spec.ts","Certificate Purchase","","","Positive electronic certificate for the proposed amount",""
"passed","Tue Oct 08 23:03:27 YEKT 2024","Tue Oct 08 23:03:41 YEKT 2024","13800","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","Reviews Page Check",""
"passed","Tue Oct 08 23:04:25 YEKT 2024","Tue Oct 08 23:04:36 YEKT 2024","10875","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","SeasonTicket Page Check",""
"passed","Tue Oct 08 23:03:47 YEKT 2024","Tue Oct 08 23:04:06 YEKT 2024","19573","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","Service Page Check",""
"passed","Tue Oct 08 23:04:00 YEKT 2024","Tue Oct 08 23:04:15 YEKT 2024","15137","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","Promotions Page Check",""
"passed","Tue Oct 08 23:03:26 YEKT 2024","Tue Oct 08 23:03:47 YEKT 2024","20816","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","News Page Check",""
"passed","Tue Oct 08 23:03:12 YEKT 2024","Tue Oct 08 23:03:26 YEKT 2024","13527","Chromium","e2e_BasickCheck.spec.ts","Home screen pages are displayed","","","'About Tairai' Page Check",""
